English,中文（採用）,別稱,來源
air wedge,氣楔,,EDB 2020
air-conditioner,空氣調節器,空調機 / 冷氣機,EDB 2020
Alessandro Volta,伏打,,牛津 Book 4 Ch2
Alhazen,阿爾哈曾,,牛津 Book 3A Ch1
alignment,對準,校整,EDB 2020
allergic,過敏,,牛津 Book E4 Ch3
alternating current,交流電,,EDB 2020
alternating voltage,交變電壓,交流電壓,EDB 2020
alternator,交流發電機,,EDB 2020
altimeter,高度計,,EDB 2020
americium,鎇,,牛津 Book 5 Ch1
ammeter,安培計,,牛津 Book 4 Ch2
amorphous,非結晶的,無定形的,EDB 2020
ampere,安培,安,EDB 2020
ampere (A),安培,,牛津 Book 4 Ch2
ampere-hour,安培小時,安時,EDB 2020
amplification,放大,放大率,EDB 2020
amplifier,放大器,,EDB 2020
amplify,放大,,EDB 2020
amplitude,振幅,,牛津 Book 3B  Ch4
amplitude mode (A-Mode),振幅模式 (A-模式),,EDB 2020
amplitude modulation,調幅,振幅調劑,EDB 2020
amyl acetate,醋酸戊酯,,EDB 2020
anaemia,貧血,,EDB 2020
anaesthesia,麻醉,,牛津 Book E4 Ch1
analogue,模擬,,EDB 2020
analogue experiment,模擬實驗,,EDB 2020
analogue signal,模擬訊號,非數字訊號,EDB 2020
analogue-to-digital conversion,模擬轉換,,EDB 2020
analyser,檢偏振器,,EDB 2020
Anders Celsius,攝爾修斯,,牛津 Book 1 Ch1
Andre Geim,海姆,,牛津 Book E2 Ch3
anemometer,風速計,,EDB 2020
aneroid barometer,無液氣壓計,空盒氣壓計,EDB 2020
angle of contact,接觸角,,EDB 2020
angle of deviation,偏向角,,EDB 2020
angle of diffraction,衍射角,繞射角,EDB 2020
angle of dip,傾角,,EDB 2020
angle of elevation,仰角,,EDB 2020
angle of emergence,出射角,,EDB 2020
angle of incidence,入射角,,牛津 Book 3A Ch1
angle of inclination,傾角,,EDB 2020
angle of minimum deviation,最小偏向角,,EDB 2020
angle of projection,投射角,,EDB 2020
angle of reflection,反射角,,牛津 Book 3A Ch1
angle of refraction,折射角,,牛津 Book 3A Ch2
angle of stellar parallax,恒星視差角,,牛津 Book E1 Ch3
angle of twist,扭轉角,,EDB 2020
angstrom,埃,,EDB 2020
angular acceleration,角加速度,,EDB 2020
angular aperture,孔徑張角,,EDB 2020
angular diameter,角直徑,,牛津 Book E1 Ch3
angular displacement,角位移,,EDB 2020
angular distance,角距離,,牛津 Book E1 Ch3
angular frequency,角頻率,,EDB 2020
angular impulse,角衝量,,EDB 2020
angular magnification,角度放大,角放大率,EDB 2020
angular momentum,角動量,,牛津 Book E2 Ch2
angular motion,角向運動,角運動,EDB 2020
angular resolution,角解像度,,牛津 Book E2 Ch3
angular separation,角間距,,牛津 Book E2 Ch3
angular size,角大小,,牛津 Book E1 Ch3
angular speed,角速率,,EDB 2020
angular velocity,角速度,,EDB 2020
angular width,角寬度,,EDB 2020
annealing,退火,韌化,EDB 2020
Annie Jump Cannon,坎農,,牛津 Book E1 Ch3
annual motion,週年運動,,EDB 2020
anode,陽極,,牛津 Book E2 Ch1
anode voltage,陽極電壓,,EDB 2020
anomalous expansion,反常膨脹,,EDB 2020
antenna,天綫,,EDB 2020
anticlockwise moment,逆時針力矩,,EDB 2020
antifreeze,防凍劑,,EDB 2020
antinodal line,腹線,腹綫（EDB）,牛津 Book 3B  Ch5
antinode,波腹,,牛津 Book 3B  Ch5
antiparticle,反粒子,,EDB 2020
antiphase,反相,逆相,EDB 2020
aperture,孔徑,,牛津 Book E2 Ch3
aphelion,遠日點,,牛津 Book E1 Ch2
apparent brightness,視亮度,,牛津 Book E1 Ch3
apparent depth,視深,,牛津 Book 3A Ch2
apparent expansion,表觀膨脹,視膨脹,EDB 2020
apparent frequency,表觀頻率,視頻率,EDB 2020
apparent loss in weight,表觀失重,,EDB 2020
apparent magnitude,視星等,,牛津 Book E1 Ch3
apparent motion,視運動,,EDB 2020
apparent weight,表觀重量,,牛津 Book E1 Ch2
Appleton layer,阿普頓層,F 電離層,EDB 2020
aqueous layer,水層,,EDB 2020
Archimedes' principle,阿基米德原理,,EDB 2020
area,面積,,EDB 2020
argon,氬氣,氬（EDB）,牛津 Book E3 Ch2
armature,電樞,,EDB 2020
artefact,人工製品,,牛津 Book E2 Ch3
artificial contrast medium,人工顯影劑,人工造影劑（EDB）,牛津 Book E4 Ch3
artificial disintegration,人工蛻變,,EDB 2020
artificial radioactivity,人工放射,,EDB 2020
astable,非穩態的,,EDB 2020
astable circuit,非穩態電路,,EDB 2020
astable multivibrator,非穩態多諧振盪器,,EDB 2020
asteroid,小行星,,牛津 Book E1 Ch1
asteroid belt,小行星帶,,牛津 Book E1 Ch1
astigmatism,散光,像散（EDB）,牛津 Book E4 Ch1
astronaut,航天員,宇航員 / 太空人,EDB 2020
astronomical telescope,天文望遠鏡,,EDB 2020
astronomical unit,天文單位,,EDB 2020
astronomical unit (AU),天文單位,,牛津 Book E1 Ch1
at infinity,在無窮遠處,,EDB 2020
at rest,靜止,,EDB 2020
atmosphere,大氣,大氣層 / 大氣壓,EDB 2020
atmospheric pressure,大氣壓強,,EDB 2020
atom,原子,,牛津 Book 4 Ch1
atomic bomb,原子彈,,牛津 Book 5 Ch3
atomic bond,原子鍵,,EDB 2020
atomic density,原子密度,,EDB 2020
atomic diameter,原子直徑,,EDB 2020
atomic energy,原子能,,EDB 2020
atomic mass,原子質量,,EDB 2020
atomic mass unit,原子質量單位,,EDB 2020
atomic mass unit (u),原子質量單位,,牛津 Book 5 Ch3
atomic model,原子模型,,EDB 2020
atomic nucleus,原子核,,EDB 2020
atomic number,原子序數,,牛津 Book 5 Ch2
atomic radius,原子半徑,,EDB 2020
atomic separation,原子間距,,EDB 2020
atomic size,原子大小,,EDB 2020
atomic spacing,原子間距,,EDB 2020
atomic structure,原子結構,,EDB 2020
atomic theory,原子論,,EDB 2020
atomizer,噴霧器,,EDB 2020
attenuation,衰減,,牛津 Book E4 Ch2
attenuation coefficient,衰減係數,,EDB 2020
attenuation profile,衰減輪廓,,牛津 Book E4 Ch3
attraction,吸引,,EDB 2020
attractive force,吸力,,EDB 2020
audible frequency range,聽頻範圍,,EDB 2020
audible signal,可聽訊號,,EDB 2020
audio frequency,聲頻,,EDB 2020
auditory nerve,聽神經,,牛津 Book E4 Ch2
autofocus,自動聚焦,自動對焦,EDB 2020
avalanche,電子雪崩,,EDB 2020
average acceleration,平均加速度,,EDB 2020
average power,平均功率,,EDB 2020
average speed,平均速率,,牛津 Book 2 Ch1
average velocity,平均速度,,牛津 Book 2 Ch1
avian influenza,禽流感,,牛津 Book E4 Ch3
Avogadro number,阿佛加德羅數,,EDB 2020
Avogadro's constant,阿佛加德羅常數,,EDB 2020
Avogadro's law,阿佛加德羅定律,,EDB 2020
axial,軸向的,沿軸的,EDB 2020
axial field,軸向場,,EDB 2020
axial resolution,軸向分辨率,,牛津 Book E4 Ch2
axial search coil,軸向探察綫圈,,EDB 2020
axis,軸,,EDB 2020
axis of rotation,轉軸,,EDB 2020
B-scan B-,掃描,,牛津 Book E4 Ch2
back e.m.f,反電動勢,,EDB 2020
back projection algorithm,反投影算法,,牛津 Book E4 Ch3
background radiation,本底輻射,,牛津 Book 5 Ch1
Bainbridge mass spectrometer,班布里奇質譜儀,,EDB 2020
balance,天平,秤 / 平衡,EDB 2020
balance arm,秤桿,平衡臂,EDB 2020
balance point,平衡點,,EDB 2020
balanced bridge,平衡電橋,,EDB 2020
balanced force,平衡力,,EDB 2020
ball bearing,球軸承,滾珠軸承,EDB 2020
ballistic galvanometer,衝擊電流計,衝擊檢流計,EDB 2020
ballistic pendulum,衝擊擺,,EDB 2020
Balmer series,巴耳末系,巴耳末光譜,EDB 2020
band spectrum,帶狀光譜,帶狀譜,EDB 2020
bandwidth,帶寬,,EDB 2020
bar code,條形碼,,EDB 2020
bar magnet,磁棒,,EDB 2020
bare wire,裸綫,,EDB 2020
barium,鋇,,EDB 2020
barium meal,鋇餐,,EDB 2020
barometer,氣壓計,,EDB 2020
barrier,障礙物,,EDB 2020
barrier layer,阻檔層,耗盡層,EDB 2020
barrier potential difference,阻檔層電勢差,阻檔層電位差,EDB 2020
Barton's pendulums,巴爾通擺,,EDB 2020
base,基極,,EDB 2020
base current,基極電流,,EDB 2020
basilar membrane,基底膜,,牛津 Book E4 Ch2
battery,電池組,,EDB 2020
battery charger,電池充電器,,EDB 2020
battery holder,電池座,,EDB 2020
beaker,燒杯,,EDB 2020
beam splitter,分束器,射束分離器,EDB 2020
beat,拍,,EDB 2020
beat frequency,拍頻,,EDB 2020
becquerel,貝克勒耳,貝克,EDB 2020
becquerel (Bq),貝克,,牛津 Book 5 Ch2
BeiDou Navigation Satellite System,北斗衞星導航系統,,牛津 Book E1 Ch2
bel,貝爾,貝,EDB 2020
bell jar,鐘形罩,,EDB 2020
Ben Feringa,費林加,,牛津 Book E2 Ch3
bench mat,實驗檯墊,,EDB 2020
Benjamin Franklin,富蘭克林,,牛津 Book 4 Ch1
Bernoulli's theorem,伯努利定律,,EDB 2020
beryllium,鈹,,EDB 2020
biasing circuit,偏壓電路,,EDB 2020
biasing voltage,偏壓,,EDB 2020
biconcave lens,雙凹透鏡,,EDB 2020
biconvex lens,雙凸透鏡,,EDB 2020
bicycle dynamo,自行車發電機,腳踏車發電機,EDB 2020
bifilar pendulum,雙綫擺,,EDB 2020
bifocal lens,雙焦距透鏡,,EDB 2020
Big Bang,大爆炸,,牛津 Book E1 Ch3
big bang model,大爆炸模型,,EDB 2020
bimetallic strip,雙層金屬片,雙金屬片,EDB 2020
binary adder,二進加法器,,EDB 2020
binary star,雙星,,EDB 2020
binding,結合,,EDB 2020
binding energy,結合能,,牛津 Book E3 Ch4
binoculars,雙筒望遠鏡,,牛津 Book E1 Ch1
biological half-life,生物半衰期,,牛津 Book E4 Ch3
bipolar,雙極的,,EDB 2020
birefraction,雙折射,,EDB 2020
bistable,雙穩態的,雙穩器,EDB 2020
bistable circuit,雙穩電路,,EDB 2020
bistable multivibrator,雙穩態多諧振盪器,,EDB 2020
bit,二進位制,位,EDB 2020
black body radiation,黑體輻射,,EDB 2020
black hole,黑洞,,EDB 2020
blackbody,黑體,,牛津 Book E1 Ch3
blackbody radiation,黑體輻射,,牛津 Book E1 Ch3
blade,扇葉,,牛津 Book E3 Ch4
blind spot,盲點,,牛津 Book E4 Ch1
block and tackle,滑輪組,,EDB 2020
block diagram,方框圖,,EDB 2020
blocking capacitor,隔直流電器容,,EDB 2020
blooming,敷霜,表面加膜,EDB 2020
blue shift,藍移,,牛津 Book E1 Ch3
Bohr atom,玻爾原子,,EDB 2020
Bohr orbit,玻爾軌道,,EDB 2020
Bohr radius,玻爾半徑,,EDB 2020
Bohr theory,玻爾理論,,EDB 2020
Bohr's model,玻爾模型,,EDB 2020
Bohr’s model,玻爾模型,,牛津 Book E2 Ch2
boil,沸騰,煮沸,EDB 2020
boiler,鍋爐,,EDB 2020
boiling point,沸點,,EDB 2020
bolometer,輻射熱計,,EDB 2020
Boltzmann constant,玻耳茲曼常數,玻耳茲曼常量,EDB 2020
bombardment,轟擊,,EDB 2020
bond energy,鍵能,,EDB 2020
bonding,鍵合,,EDB 2020
Bourdon gauge,布爾登氣壓計,,EDB 2020
bow wave,弓形波,舷波,EDB 2020
bowel,腸臟,,牛津 Book E4 Ch2
Boyle's law,波義耳定律,,EDB 2020
Brackett series,布喇開系,布喇開光譜,EDB 2020
Bragg angle,布喇格角,,EDB 2020
Bragg diffraction,布喇格衍射,布喇格繞射,EDB 2020
Bragg plane,布喇格平面,,EDB 2020
Bragg's law,布喇格定律,,EDB 2020
brake,制動器,,EDB 2020
breakdown potential,擊穿電勢,擊穿電位,EDB 2020
breaking point,斷點,,EDB 2020
breaking strength,抗斷強度,,EDB 2020
breaking stress,致斷應力,,EDB 2020
breeder reactor,增殖反應堆,,EDB 2020
bremsstrahlung,軔致輻射,,EDB 2020
Brewster's law,布魯斯特定律,,EDB 2020
bridge circuit,橋式電路,,EDB 2020
bridge rectifier,橋式整流器,,EDB 2020
bright fringe,亮紋,,EDB 2020
brightness,亮度,,EDB 2020
brightness mode (B-Mode),亮度模式 (B-模式),,EDB 2020
brittle,脆的,易碎的,EDB 2020
bromine,溴,,EDB 2020
Brownian movement,布朗運動,,EDB 2020
brush,電刷,,EDB 2020
bubble chamber,氣泡室,,EDB 2020
bubble raft model,泡筏模型,,EDB 2020
buckyball,布克球,,牛津 Book E2 Ch3
buffer,緩衝器,,EDB 2020
buffer circuit,緩衝電路,,EDB 2020
building envelope,建築物外牆,,EDB 2020
bulk modulus,體積彈性模量,,EDB 2020
Bunsen burner,本生燈,,EDB 2020
buoyancy,浮力,,EDB 2020
burette,滴定管,,EDB 2020
burette stand,滴定管架,,EDB 2020
burglar alarm,防盜警報器,防盜警鐘,EDB 2020
buzzer,蜂鳴器,,EDB 2020
by-pass,旁路,,EDB 2020
byte,二進位組,字節,EDB 2020
cable,電纜,,EDB 2020
cadmium sulphide,硫化鎘,,EDB 2020
caesium,銫,,EDB 2020
calcite,方解石,,EDB 2020
calibrate,校準,,牛津 Book 1 Ch1
calipers,測徑器,卡鉗,EDB 2020
calorie,卡路里,卡,EDB 2020
calorimeter,量熱器,,EDB 2020
camera,照相機,,EDB 2020
cancer cell,癌細胞,,EDB 2020
candela,坎德拉,,EDB 2020
cantilever,懸臂,,EDB 2020
canvas,畫布,,牛津 Book E2 Ch3
capacitance,電容,,EDB 2020
capacitance substitution box,換值電容箱,,EDB 2020
capacitive circuit,電容電路,,EDB 2020
capacitive component,電容性分量,,EDB 2020
capacitive coupling,電容耦合,,EDB 2020
capacitive discharge,電容性放電,,EDB 2020
capacitive reactance,容抗,,EDB 2020
capacitor,電容器,,EDB 2020
capacitor-input filter,電容輸入濾波器,,EDB 2020
capacity,容量,載量,EDB 2020
capillarity,毛細現象,毛細作用,EDB 2020
capillary depression,毛細下降,,EDB 2020
capillary rise,毛細上升,,EDB 2020
capillary tube,毛細管,,EDB 2020
capsule,囊,,EDB 2020
capture,俘獲,,EDB 2020
carbon,碳,,EDB 2020
carbon granule,碳顆粒,,EDB 2020
carbon nanotube,納米碳管,,牛津 Book E2 Ch3
carbon neutrality,碳中和,,牛津 Book 5 Ch3
carbon paper disc,圓形碳紙,,EDB 2020
carbon-14 dating,碳 14 年代測定法,,EDB 2020
carburettor,化油器,汽化器,EDB 2020
carrier wave,載波,,EDB 2020
carry,進位,,EDB 2020
castor oil,蓖麻油,,牛津 Book 4 Ch1
cataract,白內障,,EDB 2020
cathode,陰極,,牛津 Book E2 Ch1
cathode ray,陰極射綫,,EDB 2020
cathode ray deflection tube,陰極射綫偏轉管,,EDB 2020
cathode voltage,陰極電壓,,EDB 2020
cathode-ray oscilloscope,陰極射綫示波器,示波器,EDB 2020
cathode-ray tube,陰極射綫管,,EDB 2020
cavity resonator,空腔共振器,,EDB 2020
celestial body,天體,,牛津 Book E1 Ch1
celestial equator,天赤道,天球赤道,EDB 2020
celestial sphere,天球,,牛津 Book E1 Ch1
celestial telescope,天體望遠鏡,,EDB 2020
cell,電池,細胞,EDB 2020
Celsius temperature scale,攝氏温標,攝氏溫標（EDB）,牛津 Book 1 Ch1
centimetre,厘米,,EDB 2020
centralized low voltage power supply unit,中央控制低壓電源箱,,EDB 2020
centre of curvature,曲率中心,,EDB 2020
centre of gravity,重心,,EDB 2020
centre of mass,質心,,EDB 2020
centre of oscillation,振盪中心,,EDB 2020
centre-tapped transformer,中心抽頭變壓器,,EDB 2020
centrifugal force,離心力,,EDB 2020
centrifuge,離心機,,EDB 2020
centripetal acceleration,向心加速度,,EDB 2020
centripetal force,向心力,,EDB 2020
Chadwick,查德威克,,EDB 2020
chain reaction,連鎖反應,,牛津 Book 5 Ch3
change of state,物態變化,,EDB 2020
change-over switch,換向開關,,EDB 2020
Chang’e 4,嫦娥四號,,牛津 Book E1 Ch1
characteristic,特性,特徵,EDB 2020
characteristic curve,特性曲綫,,EDB 2020
characteristic line,特徵綫,特徵譜綫,EDB 2020
characteristic spectrum,特徵光譜,特徵譜,EDB 2020
charge,電荷,充電 / 起電,EDB 2020
charge carrier,載荷子,,EDB 2020
charge conservation,電荷守恆,,EDB 2020
charge density,電荷密度,,EDB 2020
charge distribution,電荷分佈,,EDB 2020
charge to mass ratio,荷質比,,EDB 2020
charged particle,帶電粒子,,EDB 2020
charging,起電,,牛津 Book 4 Ch1
charging by contact,接觸起電,,EDB 2020
charging by friction,摩擦起電,摩擦生電（EDB）,牛津 Book 4 Ch1
charging by induction,感應起電,,牛津 Book 4 Ch1
charging by sharing,授受起電,,牛津 Book 4 Ch1
charging time constant,充電時間常數,充電時間常量,EDB 2020
Charles Coulomb,庫倫,,牛津 Book 4 Ch1
Charles du Fay,篤費,,牛津 Book 4 Ch1
Charles K. Kao,高錕,,牛津 Book 3A Ch2
Charles' law,查理定律,,EDB 2020
China National Space Administration (CNSA),國家航天局,,EDB 2020
choke,扼流,抗流 / 扼流圈 / 抗流圈,EDB 2020
choke circuit,扼流電路,抗流電路,EDB 2020
Christian Doppler,多普勒,,牛津 Book E1 Ch3
chromatic aberration,色差,,EDB 2020
chromatic dispersion,色散,,EDB 2020
ciliary muscle,睫狀肌,,牛津 Book E4 Ch1
cinefilm soundtrack,電影膠片聲跡,,EDB 2020
circle of least confusion,最少模糊圈,明晰圈,EDB 2020
circuit,電路,,EDB 2020
circuit board,電路板,,EDB 2020
circuit breaker,斷路器,,EDB 2020
circuit symbol,電路符號,,EDB 2020
circular coil,環形綫圈,,EDB 2020
circular motion,圓周運動,,EDB 2020
circular orbit,圓周軌道,,EDB 2020
circular pulse,圓形脈衝,,EDB 2020
circular wave,圓形波,,牛津 Book 3B  Ch5
circular wavefront,圓形波陣面,圓形波前,EDB 2020
cladding,包覆層,,牛津 Book 3A Ch2
clamp,夾鉗,夾緊,EDB 2020
classical mechanics,經典力學,,EDB 2020
Claudius Ptolemy,托勒密,,牛津 Book E1 Ch1
cleave,裂開,,EDB 2020
clinical thermometer,體溫計,,EDB 2020
Clinton Davisson,大衞遜,,牛津 Book E2 Ch2
clip,夾子,,EDB 2020
clockwise moment,順時針力矩,,EDB 2020
closed circuit,閉合電路,,EDB 2020
closed pipe,閉管,,EDB 2020
closed tube,閉管,,EDB 2020
closed-loop control system,閉環控制系統,,EDB 2020
closed-loop gain,閉環增益,,EDB 2020
closed-loop voltage gain,閉環電壓增益,,EDB 2020
closely packed,密堆積的,,EDB 2020
cloud chamber,雲室,,EDB 2020
cloud chamber track,雲室徑跡,,EDB 2020
CLP,中電,,牛津 Book 4 Ch8
coaxial,共軸,同軸,EDB 2020
coaxial cable,同軸電纜,同軸綫,EDB 2020
cobalt,鈷,,EDB 2020
cochlea,耳蝸,,牛津 Book E4 Ch2
code,編碼,,EDB 2020
coder,編碼器,,EDB 2020
coefficient of dynamic friction,動摩擦係數,,EDB 2020
coefficient of friction,摩擦係數,,EDB 2020
coefficient of performance,性能係數,,EDB 2020
coefficient of performance (COP),性能係數,,牛津 Book E3 Ch1
coefficient of restitution,恢復係數,,EDB 2020
coefficient of static friction,靜摩擦係數,,EDB 2020
coefficient of viscosity,黏滯係數,,EDB 2020
coherent,相干的,,EDB 2020
coherent bundle fibre,相干光纖管束,,牛津 Book E4 Ch1
coherent sources,相干源,,牛津 Book 3B  Ch5
cohesion,內聚力,內聚,EDB 2020
cohesive force,內聚力,,EDB 2020
coil,綫圈,,EDB 2020
cold spot,冷點,,牛津 Book E4 Ch3
collector,集電極,集極,EDB 2020
collector current,集電極電流,集極電流,EDB 2020
collimator,準直管,準直儀,EDB 2020
collision,碰撞,,EDB 2020
colour,顏色,,EDB 2020
colour code,色碼,色標,EDB 2020
colour spectrum,色譜,,牛津 Book 3A Ch2
combinational logic,組合邏輯,,EDB 2020
comet,彗星,,牛津 Book E1 Ch1
common emitter,共發射極,,EDB 2020
common-mode voltage,共模電壓,,EDB 2020
commutator,換向器,,EDB 2020
compact fluorescent lamp (CFL),緊湊型熒光燈,,牛津 Book E3 Ch2
compass,指南針,羅盤,EDB 2020
complete circuit,完整電路,,EDB 2020
component,元件,分量 / 組分,EDB 2020
component of force,分力,,EDB 2020
compound microscope,複式顯微鏡,,EDB 2020
compound pendulum,複擺,,EDB 2020
compressed gas,壓縮氣體,,EDB 2020
compressibility,可壓縮性,壓縮係數 / 壓縮率,EDB 2020
compressible fluid,可壓縮性流體,,EDB 2020
compression,密部,,牛津 Book 3B  Ch4
compression spring balance,壓縮彈簧天平,,EDB 2020
compressor,壓縮機,,牛津 Book E3 Ch1
computed tomographic image (CT image),電腦斷層影像,,牛津 Book E4 Ch3
computed tomography,電腦斷層造影,,牛津 Book E4 Ch3
computed tomography (CT),電腦斷層造影,,牛津 Book E4 Ch3
computed tomography (CT) scanner,電腦斷層造影掃描儀,,EDB 2020
concave,凹,,EDB 2020
concave lens,凹透鏡,,EDB 2020
concave mirror,凹鏡,凹面鏡,EDB 2020
concentrated solar power,太陽能聚熱發電,,牛津 Book E3 Ch4
concentric capacitor,同心電容器,,EDB 2020
condensation,冷凝,凝結,EDB 2020
condensation nucleus,凝結核,凝聚核,EDB 2020
condensation point,凝點,凝結點,EDB 2020
Condenser,冷凝式,聚光器（EDB）,牛津 Book E3 Ch1
condensing coil,冷凝管道,,牛津 Book E3 Ch1
conductance,電導,,EDB 2020
conduction,傳導,,牛津 Book 1 Ch2
conductivity,傳導性,傳導率,EDB 2020
conductor,導體,,牛津 Book 1 Ch2
cone cell,視錐細胞,,牛津 Book E4 Ch1
cone of rays,光錐,,牛津 Book 3A Ch1
conical pendulum,錐擺,,EDB 2020
conjugate foci,共軛焦點,,EDB 2020
conservation of angular momentum,角動量守恆,,EDB 2020
conservation of charge,電荷守恆,,EDB 2020
conservation of energy,能量守恆,,EDB 2020
conservation of mechanical energy,機械能守恆,,EDB 2020
conservation of momentum,動量守恆,,EDB 2020
conservative force,守恆力,保守力,EDB 2020
conserved,守恆,,EDB 2020
constant acceleration,恆加速度,,EDB 2020
constant angular acceleration,恆角加速度,,EDB 2020
constant angular velocity,恆角速度,,EDB 2020
constant force,恆力,,EDB 2020
constant motion,恆速運動,,EDB 2020
constant pressure,定壓,,EDB 2020
constant speed,恆速率,,EDB 2020
constant temperature,定溫,,EDB 2020
constant velocity,恆速度,,EDB 2020
constant volume,定容,,EDB 2020
constant volume gas thermometer,定容氣體溫度計,,EDB 2020
constantan,康銅,,EDB 2020
constellation,星座,,牛津 Book E1 Ch1
constriction,頸縮,,EDB 2020
constructive interference,相長干涉,,牛津 Book 3B  Ch5
contact angle,接觸角,,EDB 2020
contact area,接觸面積,,EDB 2020
contact force,接觸力,,EDB 2020
continuity equation,連續性方程,,EDB 2020
continuous spectrum,連續光譜,連續譜,EDB 2020
continuous wave,連續波,,EDB 2020
contract,收縮,,EDB 2020
control experiment,對照實驗,比對實驗,EDB 2020
control grid,控制柵極,,EDB 2020
control rod,控制棒,,牛津 Book E3 Ch4
control system,控制系統,,EDB 2020
controlled nuclear fission,受控制裂變,,牛津 Book 5 Ch3
controlled nuclear fusion,受控核聚變,,牛津 Book 5 Ch3
convection,對流,,牛津 Book 1 Ch2
convection current,對流,,牛津 Book 1 Ch2
converge,會聚,,EDB 2020
convergent,會聚,,牛津 Book 3A Ch1
converging lens,會聚透鏡,,EDB 2020
converging mirror,會聚鏡,,EDB 2020
convex,凸,,EDB 2020
convex lens,凸透鏡,,EDB 2020
convex mirror,凸鏡,凸面鏡,EDB 2020
coolant,冷卻劑,,牛津 Book E3 Ch4
cooling by evaporation,蒸發致冷,,EDB 2020
cooling capacity,冷卻能力,製冷能力,牛津 Book E3 Ch1
cooling correction,冷卻修正,,EDB 2020
cooling curve,冷卻曲綫,,EDB 2020
cooling effect,冷卻效應,,EDB 2020
cooling system,冷卻系統,散熱系統,EDB 2020
coplanar forces,共面力,,EDB 2020
core,心,核心,EDB 2020
Coriolis force,科里奧利力,,EDB 2020
corkscrew rule,螺旋法則,,EDB 2020
cornea,角膜,,牛津 Book E4 Ch1
corona discharge,電暈放電,,EDB 2020
coronary artery,冠狀動脈,,牛津 Book E4 Ch3
coronavirus,冠状病毒,,牛津 Book 2 Ch1
corpuscular theory of light,光的微粒學說,,EDB 2020
correction,矯正,修正,EDB 2020
cosmic radiation,宇宙輻射,,EDB 2020
cosmology,宇宙學,,牛津 Book 5 Ch3
coulomb,庫倫,,EDB 2020
coulomb (C),庫倫,,牛津 Book 4 Ch1
Coulomb's law,庫倫定律,,EDB 2020
Coulomb’ s constant,庫倫常數,,牛津 Book 4 Ch1
Coulomb’ s law,庫倫定律,,牛津 Book 4 Ch1
Coulomb’s law,庫倫定律,,牛津 Book 4 Ch1
count rate,計數率,,牛津 Book 5 Ch1
counter,計數器,,EDB 2020
